speciesAbbr	speciesSCI	speciesFI	speciesSV	speciesEN	visibility
CARCHL	Carduelis chloris	Viherpeippo	Grönfink	Greenfinch	1
CARCAR	Carduelis carduelis	Tikli	Steglits	Goldfinch	1
CARSPI	Carduelis spinus	Vihervarpunen	Grönsiska	Siskin	1
CARCAN	Carduelis cannabina	Hemppo	Hämpling	Linnet	1
CARRIS	Carduelis flavirostris	Vuorihemppo	Vinterhämpling	Twite	1
CARMEA	Carduelis flammea	Urpiainen	Gråsiska	Redpoll	1
CARHOR	Carduelis hornemanni	Tundraurpiainen	Snösiska	Arctic Redpoll	1
LOXLEU	Loxia leucoptera	Kirjosiipikäpylintu	Bändelkorsnäbb	Two-barred Crossbill	1
LOXCUR	Loxia curvirostra	Pikkukäpylintu	Mindre korsnäbb	Crossbill	1
LOXPYT	Loxia pytyopsittacus	Isokäpylintu	Större korsnäbb	Parrot Crossbill	1
CARERY	Carpodacus erythrinus	Punavarpunen	Rosenfink	Scarlet Rosefinch	1
PINENU	Pinicola enucleator	Taviokuurna	Tallbit	Pine Grosbeak	1
PYRPYR	Pyrrhula pyrrhula	Punatulkku	Domherre	Bullfinch	1
COCCOC	Coccothraustes coccothraustes	Nokkavarpunen	Stenknäck	Hawfinch	1
CALLAP	Calcarius lapponicus	Lapinsirkku	Lappsparv	Lapland Bunting	1
PLENIV	Plectrophenax nivalis	Pulmunen	Snösparv	Snow Bunting	1
EMBCIT	Emberiza citrinella	Keltasirkku	Gulsparv	Yellowhammer	1
EMBHOR	Emberiza hortulana	Peltosirkku	Ortolansparv	Ortolan Bunting	1
EMBRUS	Emberiza rustica	Pohjansirkku	Videsparv	Rustic Bunting	1
EMBPUS	Emberiza pusilla	Pikkusirkku	Dvärgsparv	Little Bunting	1
EMBAUR	Emberiza aureola	Kultasirkku	Gyllensparv	Yellow-breasted Bunting	1
EMBSCH	Emberiza schoeniclus	Pajusirkku	Sävsparv	Reed Bunting	1
